Time,Data
2023-09-26T19:30:00,-0.535
2023-09-26T19:32:00,-1.57
2023-09-26T19:34:00,-1.03
2023-09-26T19:36:00,-2.163
2023-09-26T19:38:00,-2.513
2023-09-26T19:40:00,-2.49
2023-09-26T19:42:00,-2.35
2023-09-26T19:44:00,-2.064
2023-09-26T19:46:00,-1.67
2023-09-26T19:48:00,-1.604
2023-09-26T19:50:00,-2.78
2023-09-26T19:52:00,-1.374
2023-09-26T19:54:00,-1.59
2023-09-26T19:56:00,-2.29
2023-09-26T19:58:00,-1.49
2023-09-26T20:00:00,-1.16
2023-09-26T20:02:00,-2.664
2023-09-26T20:04:00,-1.83
2023-09-26T20:06:00,-1.174
2023-09-26T20:08:00,-2.671
2023-09-26T20:10:00,-2.662
2023-09-26T20:12:00,-3.101
2023-09-26T20:14:00,-2.36
2023-09-26T20:16:00,-2.94
2023-09-26T20:18:00,-3.25
2023-09-26T20:20:00,-2.91
2023-09-26T20:22:00,-2.594
2023-09-26T20:24:00,-2.77
2023-09-26T20:26:00,-2.932
2023-09-26T20:28:00,-1.712
2023-09-26T20:30:00,-1.98
2023-09-26T20:32:00,-1.87
2023-09-26T20:34:00,-1.49
2023-09-26T20:36:00,-1.531
2023-09-26T20:38:00,-1.78
2023-09-26T20:40:00,-1.532
2023-09-26T20:42:00,-1.68
2023-09-26T20:44:00,-2.29
2023-09-26T20:46:00,-1.57
2023-09-26T20:48:00,-1.29
2023-09-26T20:50:00,-1.4
2023-09-26T20:52:00,-1.8
2023-09-26T20:54:00,-0.9074
2023-09-26T20:56:00,-1.12
2023-09-26T20:58:00,0.288
2023-09-26T21:00:00,-1.814
2023-09-26T21:02:00,-0.765
2023-09-26T21:04:00,-1.442
2023-09-26T21:06:00,-1.11
2023-09-26T21:08:00,-1.64
2023-09-26T21:10:00,-1.711
2023-09-26T21:12:00,-1.81
2023-09-26T21:14:00,-2.04
2023-09-26T21:16:00,-1.19
2023-09-26T21:18:00,-0.8702
2023-09-26T21:20:00,-1.924
2023-09-26T21:22:00,-1.3
2023-09-26T21:24:00,-0.992
2023-09-26T21:26:00,-0.5392
2023-09-26T21:28:00,-1.38
2023-09-26T21:30:00,-1.322
2023-09-26T21:32:00,-1.78
2023-09-26T21:34:00,-1.261
2023-09-26T21:36:00,-0.885
2023-09-26T21:38:00,-1.57
2023-09-26T21:40:00,-0.6453
2023-09-26T21:42:00,-1.86
2023-09-26T21:44:00,-1.65
2023-09-26T21:46:00,-1.28
2023-09-26T21:48:00,-1.24
2023-09-26T21:50:00,-1.81
2023-09-26T21:52:00,-2.071
2023-09-26T21:54:00,-1.47
2023-09-26T21:56:00,-1.121
2023-09-26T21:58:00,-1.42
2023-09-26T22:00:00,-1.093
2023-09-26T22:02:00,-1.661
2023-09-26T22:04:00,-1.564
2023-09-26T22:06:00,-1.28
2023-09-26T22:08:00,-0.9153
2023-09-26T22:10:00,-1.48
2023-09-26T22:12:00,-1.25
2023-09-26T22:14:00,-1.66
2023-09-26T22:16:00,-2.043
2023-09-26T22:18:00,-2.07
2023-09-26T22:20:00,-2.82
2023-09-26T22:22:00,-2.77
2023-09-26T22:24:00,-3.013
2023-09-26T22:26:00,-3.48
2023-09-26T22:28:00,-2.413
2023-09-26T22:30:00,-2.504
2023-09-26T22:32:00,-1.943
2023-09-26T22:34:00,-1.313
2023-09-26T22:36:00,-2.002
2023-09-26T22:38:00,-1.702
2023-09-26T22:40:00,-0.6123
2023-09-26T22:42:00,-1.193
2023-09-26T22:44:00,-0.1072
2023-09-26T22:46:00,0.679
2023-09-26T22:48:00,0.5201
2023-09-26T22:50:00,-0.4454
2023-09-26T22:52:00,0.237
2023-09-26T22:54:00,0.0585
2023-09-26T22:56:00,-0.437
2023-09-26T22:58:00,0.2522
2023-09-26T23:00:00,0.44
2023-09-26T23:02:00,-0.2163
2023-09-26T23:04:00,-0.446
